run,type,module,name,attrname,attrvalue,value
SCRLE-0-20200620-01:34:32-19799,runattr,,,configname,SCRLE,
SCRLE-0-20200620-01:34:32-19799,runattr,,,datetime,20200620-01:34:32,
SCRLE-0-20200620-01:34:32-19799,runattr,,,experiment,SCRLE,
SCRLE-0-20200620-01:34:32-19799,runattr,,,inifile,omnetpp.ini,
SCRLE-0-20200620-01:34:32-19799,runattr,,,iterationvars,,
SCRLE-0-20200620-01:34:32-19799,runattr,,,iterationvarsf,,
SCRLE-0-20200620-01:34:32-19799,runattr,,,measurement,,
SCRLE-0-20200620-01:34:32-19799,runattr,,,network,ned.Network,
SCRLE-0-20200620-01:34:32-19799,runattr,,,processid,19799,
SCRLE-0-20200620-01:34:32-19799,runattr,,,repetition,0,
SCRLE-0-20200620-01:34:32-19799,runattr,,,replication,#0,
SCRLE-0-20200620-01:34:32-19799,runattr,,,resultdir,results,
SCRLE-0-20200620-01:34:32-19799,runattr,,,runnumber,0,
SCRLE-0-20200620-01:34:32-19799,runattr,,,seedset,0,
SCRLE-0-20200620-01:34:32-19799,param,,,**.**.applType,"""SCRLE""",
SCRLE-0-20200620-01:34:32-19799,param,,,*.V[*].appl.speed,22mps,
SCRLE-0-20200620-01:34:32-19799,param,,,*.V[*].appl.plist_Interval,0.5s,
SCRLE-0-20200620-01:34:32-19799,param,,,*.V[*].appl.beacon_Interval,1s,
SCRLE-0-20200620-01:34:32-19799,param,,,*.V[*].appl.message_Lost,0.06,
SCRLE-0-20200620-01:34:32-19799,param,,,*.playgroundSizeX,25000m,
SCRLE-0-20200620-01:34:32-19799,param,,,*.playgroundSizeY,25000m,
SCRLE-0-20200620-01:34:32-19799,param,,,*.playgroundSizeZ,50m,
SCRLE-0-20200620-01:34:32-19799,param,,,*.annotations.draw,true,
SCRLE-0-20200620-01:34:32-19799,param,,,*.obstacles.obstacles,"xmldoc(""sumo/config.xml"", ""//AnalogueModel[@type='SimpleObstacleShadowing']/obstacles"")",
SCRLE-0-20200620-01:34:32-19799,param,,,Network.manager.updateInterval,1s,
SCRLE-0-20200620-01:34:32-19799,param,,,Network.manager.host,"""localhost""",
SCRLE-0-20200620-01:34:32-19799,param,,,Network.manager.port,9999,
SCRLE-0-20200620-01:34:32-19799,param,,,Network.manager.moduleType,"""ned.VNode""",
SCRLE-0-20200620-01:34:32-19799,param,,,Network.manager.moduleName,"""V""",
SCRLE-0-20200620-01:34:32-19799,param,,,Network.manager.moduleDisplayString,"""""",
SCRLE-0-20200620-01:34:32-19799,param,,,Network.manager.autoShutdown,true,
SCRLE-0-20200620-01:34:32-19799,param,,,Network.manager.margin,25,
SCRLE-0-20200620-01:34:32-19799,param,,,Network.manager.launchConfig,"xmldoc(""sumo/erlangen.launchd.xml"")",
SCRLE-0-20200620-01:34:32-19799,param,,,*.connectionManager.sendDirect,true,
SCRLE-0-20200620-01:34:32-19799,param,,,*.connectionManager.maxInterfDist,2600m,
SCRLE-0-20200620-01:34:32-19799,param,,,*.connectionManager.drawMaxIntfDist,false,
SCRLE-0-20200620-01:34:32-19799,param,,,*.**.nic.mac1609_4.useServiceChannel,false,
SCRLE-0-20200620-01:34:32-19799,param,,,*.**.nic.mac1609_4.txPower,20mW,
SCRLE-0-20200620-01:34:32-19799,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,
SCRLE-0-20200620-01:34:32-19799,param,,,*.**.nic.phy80211p.minPowerLevel,-110dBm,
SCRLE-0-20200620-01:34:32-19799,param,,,*.**.nic.phy80211p.useNoiseFloor,true,
